distance,theta,velocity
1,81.24836012947745,278.7310226866605
2,80.9637488602255,278.947775284543
3,80.67958655322352,279.1714001594446
4,80.39588609253727,279.4018808102731
5,80.11266022980787,279.6392002852889
6,79.82992158128043,279.883341188107
7,79.54768262492522,280.13428568382204
8,79.26595569765267,280.3920155052506
9,78.9847529926236,280.6565119592857
10,78.70408655665501,280.92775593335944
11,78.4239682877232,281.2057279020081
12,78.14440993256407,281.4904079335347
13,77.8654230843721,281.78177569676484
14,77.58701918059789,282.07981046788956
15,77.30920950084516,282.3844911373917
16,77.03200516486719,282.69579621704906
17,76.75541713066325,283.01370384701085
18,76.4794561926748,283.3381918029412
19,76.20413298008182,283.6692375032259
20,75.92945795519887,284.00681801623597
21,75.65544141197086,284.3509100676446
22,75.38209347456815,284.70149004779125
23,75.1094240960808,285.0585340190887
24,74.8374430573111,285.42201772346834
25,74.5661599656642,285.7919165898579
26,74.2955842541359,286.1682057416884
27,74.02572518039715,286.55086000442367
28,73.756591825974,286.9398539131099
29,73.48819309552248,287.33516171993887
30,73.22053771619728,287.7367574018212
31,72.95363423711312,288.1446146679652
32,72.68749102889763,288.55870696745626
33,72.42211628333477,288.9790074968335
34,72.15751801309727,289.40548920765855
35,71.89370405156681,289.83812481407256
36,71.63068205274072,290.2768868003379
37,71.36845949122348,290.7217474283597
38,71.10704366230168,291.17267874518427
39,70.84644168210089,291.6296525904699
40,70.58666048782287,292.09264060392644
41,70.32770683806126,292.561614232721
42,70.06958731319436,293.03654473884467
43,69.8123083158531,293.5174032064383
44,69.55587607146244,294.0041605490735
45,69.30029662885457,294.49678751698536
46,69.04557586095191,294.9952547042545
47,68.79171946551823,295.499532555935
48,68.53873296597578,296.0095913751254
49,68.28662171228703,296.52540132998024
50,68.0353908818985,297.0469324606594
51,67.78504548074534,297.5741546862122
52,67.53559034431437,298.10703781139495
53,67.28703013876381,298.64555153341854
54,67.03936936209772,299.189665448624
55,66.7926123453933,299.73934905908476
56,66.54676325407897,300.29457177913275
57,66.30182608926143,300.8553029418064
58,66.05780468909967,301.4215118052194
59,65.81470273022416,301.99316755884803
60,65.57252372919903,302.5702393297355
61,65.33127104402567,303.1526961886121
62,65.0909478756856,303.74050715592904
63,64.85155726972091,304.3336412078059
64,64.61310211785032,304.9320672818892
65,64.37558515961885,305.53575428312183
66,64.13900898407982,306.144671089422
67,63.90337603150674,306.7587865572705
68,63.668688595133595,307.3780695272066
69,63.43494882292202,308.00248882923006
70,63.202158719352994,308.6320132881103
71,62.97032014724215,309.26661172860065
72,62.73943482957631,309.90625298055926
73,62.50950435137006,310.550905883973
74,62.28053016154057,311.2005392938878
75,62.05251357479901,311.85512208524256
76,61.825455773557245,312.51462315760676
77,61.59935780984804,313.1790114398233
78,61.374220607257335,313.848255894554
79,61.150044962867256,314.52232552273057
80,60.92683154920839,315.2011893679084
81,60.70458091621979,315.8848165205256
82,60.48329349321552,316.5731761220662
83,60.262969590856414,317.266237369128
84,60.043609403125664,317.96396951739604
85,59.825213009307014,318.666341885521
86,59.60778037596443,319.3733238589042
87,59.391311358922074,320.0848848933885
88,59.17580570524315,320.80099451885667
89,58.96126305520695,321.52162234273743
90,58.74768294428281,322.24673805341877
91,58.53506480509974,322.9763114235719
92,58.32340796941121,323.7103123133831
93,58.11271167005362,324.4487106736971
94,57.902975042897914,325.1914765490716
95,57.69419712879314,325.93858008074295
96,57.48637687550136,326.6899915095057
97,57.27951313962285,327.4456811785055
98,57.07360468851094,328.20561953594665
99,56.8686502021757,328.9697771377154
100,56.66464827517572,329.7381246499202
101,56.46159741849724,330.51063285134865
102,56.25949606142015,331.28727263584426
103,56.05834255336997,332.06801501460194
104,55.85813516575538,332.8528311183851
105,55.65887209379073,333.64169219966345
106,55.46055145830287,334.43456963467503
107,55.26317130752187,335.23143492541107
108,55.06672961885516,336.032259701527
109,54.871224300644556,336.83701572217893
110,54.67665319390581,337.6456748777879
111,54.483014074050246,338.45820919173286
112,54.29030465258816,339.27459082197316
113,54.09852257881351,340.09479206260175
114,53.90766544146965,340.918785345331
115,53.717730770395946,341.7465432409112
116,53.528716038154585,342.57803846048364
117,53.340618661637876,343.41324385686954
118,53.15343600365529,344.2521324257954
119,52.96716537450038,345.09467730705666
120,52.78180403349723,345.94085178562
121,52.5973491905263,346.7906292926664
122,52.413798007529486,347.6439834065755
123,52.231147599994365,348.5008878538528
124,52.04939503841735,349.3613165100002
125,51.86853734974582,350.2252434003322
126,51.688571518799044,351.0926427007376
127,51.509494489667844,351.96348873838923
128,51.331303167093054,352.8377559924011
129,51.15399441782263,353.71541909443624
130,50.977565071947396,354.59645282926436
131,50.80201192421554,355.4808321352717
132,50.62733173532576,356.3685321049241
133,50.45352123319918,357.25952798518324
134,50.28057711422993,358.153795177879
135,50.108496044514645,359.0513092400371
136,49.9372746610608,359.9520458841649
137,49.766909572974,360.8559809784946
138,49.59739736262428,361.76309054718655
139,49.4287345867916,362.67335077049245
140,49.26091777779056,363.5867379848803
141,49.09394344457446,364.50322868312134
142,48.92780807381885,365.42279951434097
143,48.76250813098469,366.3454272840335
144,48.59804006136133,367.27108895404297
145,48.43440029108927,368.1997616425091
146,48.2715852281631,369.1314226237818
147,48.109591263414586,370.06604932830305
148,47.9484147714762,371.00361934245814
149,47.78805211172519,371.94411040839674
150,47.628499629208356,372.8875004238252
151,47.46975365554781,373.83376744177
152,47.31181050982786,374.78288967031443
153,47.15466649946312,375.73484547230805
154,46.99831792104826,376.68961336505146
155,46.842761061189364,377.64717201995467
156,46.68799219731719,378.60750026217255
157,46.53400759848271,379.5705770702167
158,46.38080352613479,380.53638157554417
159,46.22837623488056,381.5048930621251
160,46.07672197322848,382.4760909659889
161,45.925836984314444,383.44995487475006
162,45.775717506611066,384.4264645271145
163,45.62635977462035,385.4055998123669
164,45.47776001955014,386.3873407698398
165,45.329914469974284,387.37166758836514
166,45.182819352477054,388.35856060570876
167,45.03647089228181,389.3480003079886
168,44.89086531386422,390.339967329078
169,44.74599884155032,391.33444244999225
170,44.601867700099525,392.33140659826296
171,44.45846811527296,393.3308408472965
172,44.315796314387164,394.3327264157205
173,44.17384852685358,395.3370446667176
174,44.03262098470389,396.34377710734594
175,43.89210992310158,397.3529053878496
176,43.752311580839795,398.3644113009566
177,43.6132222008259,399.3782767811673
178,43.474838030552775,400.3944839040319
179,43.33715532255716,401.4130148854195
180,43.200170334865355,402.43385208077683
